,sideefect
116,atypical fibroxanthoma
117,miosis
118,peripheral arthritis
119,parotitis
120,congenital optic nerve anomaly
121,splinter
122,meningism
123,penile malignant neoplasm
124,nitritoid crisis
125,uterine synechiae
126,cardiac pacemaker removal
127,biopsy parathyroid gland
128,anterior chamber inflammation
129,laryngeal nerve dysfunction
130,blood creatine phosphokinase normal
131,large cell lung cancer stage iii
132,brain abscess
133,bone density decreased
134,injection site joint swelling
135,scleral degeneration
136,breast neoplasm male
137,osteolysis
138,chemotherapy toxicity attenuation
139,cardiac index decreased
140,funisitis
141,undifferentiated sarcoma
142,coeliac disease
143,rhabdomyosarcoma recurrent
144,internal fixation of fracture
145,benign neoplasm of pineal gland
146,congenital hypercoagulation
147,central nervous system abscess
148,page kidney
149,visual perseveration
150,unevaluable event
151,hereditary hypophosphataemic rickets
153,tracheal plastic repair
154,alanine aminotransferase normal
155,bone marrow ischaemia
156,haematoma evacuation
157,carotidynia
158,neonatal hypocalcaemia
159,costochondral separation
160,total sperm count decreased
161,parasomnia
162,product dosage form issue
163,intentional product use issue
164,non-cardiogenic pulmonary oedema
165,spermatic cord operation
166,occupational exposure to drug
167,periostitis
168,eye colour change
169,haemodynamic test abnormal
170,faeces pale
171,cerebral palsy
172,po2 increased
173,oesophageal fibrosis
174,duodeno-jejunal bypass sleeve therapy
175,administration site granuloma
176,oro-pharyngeal aspergillosis
177,factor viii inhibition
178,gastrointestinal wall thickening
179,endometrial adenocarcinoma
180,reaction to colouring
181,back disorder
182,hypertrophy of tongue papillae
183,vaccination site infection
184,breast cosmetic surgery
185,catheter thrombosis
186,panencephalitis
187,behavioural and psychiatric symptoms of dementia
188,pneumomediastinum
189,n-ras gene mutation
190,urine homocystine present
192,merycism
193,sinus barotrauma
194,exposure to household chemicals
195,venous ulcer pain
196,right atrial enlargement
197,acute myeloid leukaemia recurrent
198,burn oesophageal
199,anal injury
200,diadynamic electrotherapy
201,dermatitis allergic
202,blood pressure difference of extremities
203,large granular lymphocytosis
204,braf gene mutation
205,cerebral ataxia
206,cystitis-like symptom
207,myocarditis rheumatic
208,central core disease
209,obstructive shock
210,blood immunoglobulin m increased
211,vertebral artery hypoplasia
212,bone neoplasm malignant
213,nephritic syndrome
214,apparent mineralocorticoid excess
215,hepatitis non-a non-b non-c
216,procedural anxiety
217,miliary pneumonia
218,peripheral nerve infection
219,seborrhoeic keratosis
220,nail bed bleeding
221,atopic keratoconjunctivitis
222,chronic lymphocytic leukaemia (in remission)
223,urine lactic acid increased
224,laparoscopy
225,acute lymphocytic leukaemia refractory
226,non-neutralising antibodies positive
227,mesenteric abscess
228,hiv infection cdc category c
229, mixed type
230,retinal migraine
231,carbohydrate antigen 125 increased
232,toxic dilatation of colon
233,central nervous system leukaemia
234,coronary bypass stenosis
235,enterocolitis viral
236,right ventricular ejection fraction decreased
237,compression fracture
238,uterine inflammation
239,vulvovaginal hypoaesthesia
240,epstein-barr virus antigen positive
241,optic discs blurred
242,yersinia test positive
243,postural orthostatic tachycardia syndrome
245,toxic leukoencephalopathy
246,xanthopsia
247,cellulitis orbital
248,infective gastroduodenitis
249,measles antibody positive
250,poverty
251,brain tumour operation
252,testicular appendage torsion
253,eyelid retraction
254,pancreaticojejunostomy
255,isosporiasis
256,stomach mass
257,clubbing
258,physical breast examination abnormal
259,antimicrobial susceptibility test
260,leiomyoma
261,device fastener issue
262,uterine hyperstimulation
263,ldlr mutation
264,foetal growth abnormality
265,infantile apnoea
266,chlamydia test positive
267,sexual assault victim
268,congenital thrombocyte disorder
269,hepatitis chronic persistent
270,anorectal disorder
271,muscle swelling
272,hepatobiliary cancer
273,borrelia burgdorferi serology positive
274,adenoid cystic carcinoma
275,product packaging counterfeit
276,radial head dislocation
277,pityriasis rosea
278,barotrauma
279,agitation neonatal
280,tracheal fistula repair
281,vulvovaginal human papilloma virus infection
282,colonoscopy normal
283,lacrimal gland operation
284,neutrophil count decreased
285,urine flow decreased
286,uterine mass
287,peritoneal necrosis
288,pericardial fibrosis
289,post procedural diarrhoea
290,cardiac output
291,pulmonary valve stenosis congenital
292,electrocardiogram pacemaker spike
293,choking
294,septic shock
295,hyperphosphatasaemia
296,hypoglycaemia
297,injection site erythema
298,anaesthesia
299,vertebral column mass
300,intestinal mucosal atrophy
301,haemorrhagic hepatic cyst
302, jealous type
303,tick-borne viral encephalitis
304,cytomegalovirus pancreatitis
305,vessel puncture site erythema
306,masked fever
307,electrocardiogram qrs complex shortened
308,purulent synovitis
309,hydromyelia
310,urine analysis normal
311,multiple drug overdose accidental
312,coagulation time shortened
313,hyperaluminaemia
314,scan brain
315,retinal depigmentation
316,viral infection
317,tooth loss
318,lupus hepatitis
319,external nose lesion excision
320,oroticaciduria
321,vaginal ph decreased
322,nephrogenic diabetes insipidus
323,moraxella test positive
324,acute haemorrhagic leukoencephalitis
325,gamma-glutamyltransferase decreased
326,splenic infarction
327,accidental underdose
328,dry skin
329,incision site ulcer
330,pneumonia blastomyces
331,cornelia de-lange syndrome
332,tryptase increased
333,aphrodisiac therapy
334,anaesthesia dolorosa
335,death of child
336,cytogenetic analysis abnormal
337,acute fatty liver of pregnancy
338,back crushing
339,abnormal labour
340,helicobacter pylori identification test positive
341,ameloblastoma
342,tetrahydrocortisol urine increased
343,aortic valve thickening
344,ileal gangrene
346,nail dystrophy
347,pelvic sepsis
348,aortitis syphilitic
349,depressed level of consciousness
350,mean platelet volume decreased
351,infected seroma
352,sensory level normal
354,positron emission tomogram abnormal
356,viral mutation identified
357,alveolitis allergic
358,benign neoplasm of conjunctiva
359,iron binding capacity total decreased
360,transfusion-transmitted infectious disease
361,basal cell carcinoma
362,haematotoxicity
363,total hysterectomy
364,leptotrichia infection
365,pneumonia adenoviral
366,denture wearer
367,cardiac contusion
368,precursor t-lymphoblastic lymphoma/leukaemia recurrent
369,mesenteric artery embolism
370,optic nerve sheath haemorrhage
371,blindness hysterical
372,hypoxia
374,retinopathy of prematurity
375,genetic polymorphism
376,liver sarcoidosis
377,cholangiolitis
378,social anxiety disorder
379,glucagon secretion disorder
380,rectal cancer
381,vasectomy reversal
382,postmastectomy lymphoedema syndrome
383,infusion site scar
384,sinus node dysfunction
385,tuberculid
386,acute graft versus host disease
387,monorchidism
388,alpha-1 acid glycoprotein increased
389,spinal subarachnoid haemorrhage
390,urethral intrinsic sphincter deficiency
391,noninfective retinitis
392,polyneuropathy alcoholic
393,naevus cell naevus
394,infusion site scab
395,renal cortical necrosis
396,respiratory syncytial virus infection
397,platelet aggregation decreased
398,implant site hypersensitivity
399,pulmonary arterial wedge pressure increased
400,oesophagoscopy abnormal
401,oxygen consumption
402,allergy test positive
403,direct infection transmission
404,urinary ascites
405,joint hyperextension
406,blood sodium normal
407,chronic spontaneous urticaria
408,anaplastic large cell lymphoma t- and null-cell types stage iv
409,coagulation factor v level abnormal
410,amyotrophic lateral sclerosis
411,contracted bladder
412,gastric varices haemorrhage
413,portal vein stenosis
414,blood calcitonin abnormal
415,ejection fraction decreased
416,cerebrovascular arteriovenous malformation
417,choreoathetosis
418,portopulmonary hypertension
419,catheter site calcification
420,foetal heart rate disorder
421,precocious puberty
422,vitreous opacities
423,sexually transmitted disease
424,gastroenteritis paracolon bacillus
425,infusion site cyst
426,peritoneal carcinoma metastatic
427,cardiovascular autonomic function test abnormal
428,coronary artery restenosis
430,anorectal ulcer
431,osteosarcoma metastatic
432,monocyte percentage abnormal
433,sarcoma metastatic
434,galactose urine increased
435,device effect incomplete
436,removal of ambulatory peritoneal catheter
438,cerebral septic infarct
439,visceral congestion
440,blood acid phosphatase abnormal
441,tissue irritation
442,thoracotomy
443,blood ph
445,nephroptosis
446,bubonic plague
447,hyperthermia malignant
448,palatal operation
449,vitreous injury
450,orchitis noninfective
451,idiopathic thrombocytopenic purpura
452,uterovaginal prolapse
453,arterial bruit
454,vein wall hypertrophy
455,obstetric infection
456,psychotic behaviour
457,cartilage injury
458,large for dates baby
459,anti-insulin receptor antibody positive
460,oesophageal ph increased
461,retinal vein occlusion
463,platelet factor 4 decreased
464,death of parent
465,oropharyngeal neoplasm benign
466,human chorionic gonadotropin positive
467,hyperammonaemic encephalopathy
468,spinal anaesthesia
469,foetal malpresentation
470,feeling abnormal
471,electrocardiogram qt interval
472,subclavian vein occlusion
473,pituitary gonadotropin hyperfunction
474,periphlebitis
475,premature ageing
476,acute right ventricular failure
477,plasmablast count increased
478,diabetic encephalopathy
479,cavernous sinus syndrome
480,abscess intestinal
481,right ventricular systolic pressure decreased
482,cystadenocarcinoma ovary
483,gastrointestinal hypermotility
484,dental paraesthesia
485,inflammatory carcinoma of breast recurrent
486,traumatic fracture
487,spondylolysis
488,hypothyroidic goitre
489,lividity
490,ocular icterus
491,miliaria
492,trial of void
494,infusion site haemorrhage
495,pulmonary capillary haemangiomatosis
496,appendicitis noninfective
497,metallosis of globe
498,adverse food reaction
499,factor x deficiency
500,enzyme level increased
501,pseudohyponatraemia
504,cyclitis
505,candida pneumonia
506,hepatitis c antibody
507,spondylitis
508,anaesthetic complication neonatal
509,skeleton dysplasia
510,puncture site abscess
511,traction
512,orthognathic surgery
513,preoperative care
514,osteoporosis prophylaxis
515,mesenteric vein thrombosis
516,angiosarcoma metastatic
517,stoma site induration
518,immunisation reaction
519,central nervous system mass
521,macular scar
522,arterial disorder
523,mastitis
524,incorrect dose administered by device
525,spider naevus
526,struck by lightning
527,retinal melanoma
528,csf protein decreased
529,conjunctival scar
530,therapy change
531,progeria
532,myocardial necrosis marker increased
533,fragile x carrier
534,ejection fraction abnormal
535,perinatal brain damage
536,electromyogram abnormal
537,sebaceous naevus
538,scan lymph nodes
539,perichondritis
540,small cell lung cancer
541,neuropathic ulcer
542,device ineffective
543,teratoma
544,cardiac arrest
545,abortion spontaneous
546,preterm premature rupture of membranes
547,facioscapulohumeral muscular dystrophy
548,promyelocyte count increased
549,ejaculation failure
550,blood lactate dehydrogenase abnormal
551,fluorosis
552,malformation venous
553,urinary occult blood positive
554,mastitis fungal
555,ubiquinone decreased
556,squamous cell carcinoma of the vagina
557,vitamin b6 increased
558,light chain analysis increased
559,oesophageal squamous cell carcinoma recurrent
560,toxic skin eruption
561,monoclonal gammopathy
562,pneumonia
563,thyroid b-cell lymphoma
564,thyroid hormone replacement therapy
565,hysterical psychosis
566,anti-prothrombin antibody positive
567,hypopigmentation of eyelid
568,corneal leukoma
569,acute painful neuropathy of rapid glycaemic control
570,laryngotracheitis obstructive
571,trigeminal nerve paresis
572,onycholysis
573,secondary transmission
574,injection site photosensitivity reaction
575,neck mass
576,venipuncture site haemorrhage
577,forced vital capacity abnormal
578,genital haemorrhage
579,device issue
580,urethritis mycoplasmal
581,paraneoplastic pemphigus
582,hypoglossal nerve disorder
583,vascular access site thrombosis
584,varicose vein
585,visual field tests
586,glutamate dehydrogenase level abnormal
587,oesophageal mucosal tear
589,bile output decreased
590,blood antidiuretic hormone increased
591,bowel sounds abnormal
592,mini mental status examination abnormal
593,blood grouping
594,haemofiltration
595,17 ketosteroids urine decreased
596,neurologic neglect syndrome
597,hydropneumothorax
598,portal shunt
599,stem cell transplant
600,bronchopulmonary aspergillosis allergic
601,scopulariopsis infection
602,factor xiii deficiency
603,adrenal suppression
604,rubber sensitivity
605,lip exfoliation
606,epinephrine abnormal
607,dysmetria
608,radiotherapy to lung
609,genitalia external ambiguous
610,aortic stenosis
611,ketosis-prone diabetes mellitus
612,paternal exposure timing unspecified
613,non-small cell lung cancer stage 0
614,pancreatic operation
615,hyperaesthesia
616,urine ketone body
617,denervation atrophy
618,benign salivary gland neoplasm
619,enterococcal sepsis
620,euthyroid sick syndrome
621,neurosurgery
622,cerebrovascular accident
623,coombs indirect test negative
624,gingival blister
625,ureter dilation procedure
626,gastrointestinal surgery
627,venomous sting
628,application site bleeding
629,amputation of penis
630,instillation site vesicles
631,hepatitis virus-associated nephropathy
632,muscle necrosis
633,ear injury
634,csf pressure increased
635,foetal biophysical profile score
636,vascular injury
637,urethral dilatation
638,infusion site pustule
639,cold agglutinins
640,lymphocyte stimulation test positive
641,mood disorder due to a general medical condition
642,venogram
643,bacteriuria in pregnancy
644,suture line infection
645,glycosylated haemoglobin increased
646,strabismus congenital
647,micrococcus infection
648,diarrhoea neonatal
651, without cancer in situ
652,oesophageal neoplasm
653,patella fracture
654,blood corticotrophin increased
655,cardiac septal defect repair
656,malignant palate neoplasm
657,ileal perforation
658,mucosal haemorrhage
659,ulcer
660,synaesthesia
661,weight below normal
662,t-cell prolymphocytic leukaemia
663,ectopic kidney
664,urine potassium increased
665,vasectomy
666,umbilical sepsis
667,hemiplegic migraine
668,langerhans cell sarcoma
669,mammary fistula
670,forced expiratory volume decreased
671,anastomotic leak
672,device pacing issue
673,anti factor viii antibody increased
674,intratumoural aneurysm
675,amyloidoma
676,vital capacity abnormal
677,thyroid gland cancer
678,stoma site infection
679,vitreous degeneration
680,cerebellar artery occlusion
682,haematemesis
683,cystic eyeball
684,ovarian cancer recurrent
685,yolk sac tumour site unspecified
686,congenital absence of vertebra
687,pneumonia respiratory syncytial viral
688,orbital pseudotumour
690,brachiocephalic vein stenosis
691,oropharyngeal pain
692,angioimmunoblastic t-cell lymphoma stage iii
693,catheter site pruritus
694,clumsiness
695,hyperkeratosis palmaris and plantaris
696,canthoplasty
697,abortion complete
698,auditory recruitment
699,sputum increased
700,autoinflammatory disease
701,catheter management
702,central venous pressure decreased
703,arterial stent insertion
704,haemoglobin a2
705,protuberant ear
706,developmental hip dysplasia
707,mitral valve repair
708,bladder neoplasm surgery
709,pleural disorder
710,bone swelling
711,small intestinal haemorrhage
712,urinary tract stoma complication
713,instillation site dryness
714,fracture treatment
715,intervertebral disc calcification
716,conjunctival pallor
717,breast induration
718,pericardial calcification
719,microsporidia infection
720,acute pulmonary oedema
721,eye infection
722,lymphohistiocytosis
723,conversion disorder
724,mucosal erosion
725,stomatocytes present
726,pulmonary amyloidosis
727,chlamydial pelvic inflammatory disease
728,embolic cerebral infarction
729,dermatitis atopic
730,treatment noncompliance
731,dermal absorption increased
732,head banging
733,disabled relative
734,bronchitis fungal
735,burn debridement
736,myeloblast percentage increased
737,iridodialysis
739,lung infection
740,atypical fracture
741,biliary tract dilation procedure
742,cerebral atherosclerosis
743,aids retinopathy
744,electrocardiogram st segment depression
745,blood zinc increased
746,behavioural therapy
748,application site alopecia
749,incision site complication
750,pouchitis
751,splint application
752,respiratory dyskinesia
753,macrocornea
754,androgens increased
755,bone marrow infiltration
756,benign penile neoplasm
757,nail cuticle fissure
758,ovarian epithelial cancer stage iii
759,systemic sclerosis pulmonary
760,hypozincaemia
761,apocrine miliaria
762,cephalhaematoma
763,gamma radiation therapy to brain
764,lens capsulotomy
765,plasmodium malariae infection
766,joint space narrowing
767,mononuclear cell count abnormal
768,tumour perforation
769,myeloblast count increased
770,breast tenderness
771,injection site abscess
772,pulmonary veno-occlusive disease
773,caecal lesion excision
774,hypovolaemic shock
777,poisoning
778,branchiogenic syndrome
779,lenticular opacities
780,peritumoural oedema
781,infusion site pruritus
782,asthenospermia
783,toe amputation
785,blepharitis allergic
786,osteocalcin
787,accident
788,focal dyscognitive seizures
789,body surface area
790,refractory anaemia with an excess of blasts
791,bone metabolism disorder
792,failed induction of labour
793,otitis externa fungal
794,very low density lipoprotein decreased
795,nasopharyngitis
796,cerebral haemorrhage
797,pulmonary air leakage
798,treponema test positive
800,hepatic failure
801,bladder necrosis
802,bowenoid papulosis
803,kidney rupture
804,delayed haemolytic transfusion reaction
805,multi-organ failure
806,cryptogenic organizing pneumonia
807,exposure via partner
808,metastases to penis
809,scrub typhus
810,nail growth cessation
812,gastritis bacterial
813,medical device site pruritus
814,eczema infected
815,bulbar poliomyelitis
816,embolic stroke
817,osteosis
818,pregnancy
819,retro-orbital neoplasm
820,groin infection
821,vulval erythema
823,pneumonia cytomegaloviral
824,corneal thickening
826,disseminated varicella zoster vaccine virus infection
827,infusion site discolouration
828,tremor neonatal
829,crushing injury of hip
830,cervix carcinoma
831,drug ineffective for unapproved indication
832,urine analysis abnormal
833,gut fermentation syndrome
834,breast lump removal
835,nail atrophy
836,canavan disease
837,vascular pseudoaneurysm ruptured
838,empyema
839,mycoplasma serology positive
840,foetal movements decreased
841,catheter site induration
842,metastases to bone marrow
843,benign renal neoplasm
844,iliac artery stenosis
845,shoulder pain
846,neonatal respiratory distress syndrome
847,urinary incontinence surgery
848,electrocution
849,halo vision
850,red blood cell count
851,post-traumatic headache
852,jc virus granule cell neuronopathy
853,maternal therapy to enhance foetal lung maturity
854,helicobacter gastritis
855,application site laceration
856,nodular rash
857,bacterial tracheitis
858,intestinal angina
859,vaginal polyp
860,erythema
861,diarrhoea infectious
862,acquired foramen magnum stenosis
863,podagra
864,haemoptysis
865,anticonvulsant drug level
866,hypertrophic obstructive cardiomyopathy
867,tularaemia
868,ventouse extraction
869,blood phosphorus increased
870,biliary fistula
871,jejunal perforation
872,contraindicated device used
873,living alone
874,biopsy epididymis abnormal
875,pneumocystis jiroveci pneumonia
876,drug prescribing error
877,ureteral cyst
878, iii
879,stress urinary incontinence
880,mononucleosis syndrome
881,tinea cruris
882,reticular erythematous mucinosis
883,iris operation
884,cardiac pacemaker battery replacement
885,joint noise
886,strongyloidiasis
887,double cortex syndrome
888,carbohydrate metabolism disorder
889,faecal occult blood positive
890,thyroglobulin present
891,arteritis infective
893,anti factor xii antibody positive
894,anhedonia
895,kidney hypermobility
896,cholestatic liver injury
897,hyposideraemia
898,neoplasm skin
899,gastrointestinal carcinoma
900,cytomegalovirus urinary tract infection
901,hypoparathyroidism
902,mantle cell lymphoma stage iii
903,stapes mobilisation
904,creatinine renal clearance increased
906,cardiac massage
907,choking sensation
908,stoma site inflammation
909,vasodilatation
910,neuropathic arthropathy
911,apolipoprotein a-i increased
912,croup infectious
913,occupational therapy
914,nasopharyngeal neoplasm benign
915,lung squamous cell carcinoma recurrent
916,suspected transmission of an infectious agent via product
917,post embolisation syndrome
918,congenital claw toe
919,automatism epileptic
920,tobacco poisoning
921,anogenital dysplasia
922,splenic fibrosis
923,manufacturing materials issue
924,infusion site extravasation
925,retinal deposits
926,mediastinal effusion
927,promotion of wound healing
928,uterine disorder
929,infantile asthma
930,electronystagmogram abnormal
931,chronic tonsillitis
932,ventricular enlargement
933,false negative pregnancy test
934,phlebitis infective
935,accident at home
936,cervical leukoplakia
938,application site paraesthesia
939,gastroenteritis astroviral
940,congenital atrial septal defect
941,keratoplasty
942,parosmia
943,scrotal abscess
944,optic nerve cup/disc ratio
945,transferrin saturation
946,tumour pain
947,penile repair
948,fascioliasis
949,acquired growth hormone resistance
950,po2 decreased
951,anal cancer metastatic
952,ciliary body operation
953,gamma-glutamyltransferase abnormal
954,positional plagiocephaly
955,urethral stricture postoperative
956,serratia test positive
957,peritonsillar abscess
958,cows milk free diet
959,disorder of sex development
960,intraocular melanoma
961,hypolipidaemia
962,decreased eye contact
963,vascular endothelial growth factor overexpression
964,vascular access site swelling
965,urethrotomy
966,eyelid boil
967,unevaluable therapy
968,urinary incontinence
969,perfume sensitivity
970,abscess of salivary gland
971,contraindication to vaccination
972,squamous cell carcinoma of lung
973,implant site effusion
974,notalgia paraesthetica
975,ejaculation delayed
976,male genital atrophy
977,implant site exfoliation
978,femoral nerve palsy
979,cholaemia
980,pituitary-dependent cushing's syndrome
981,tuberculosis bladder
982,application site plaque
983,sensitisation
984,activated partial thromboplastin time ratio increased
985,otorhinolaryngological surgery
986,caregiver
987,congenital macrocephaly
988,injection site hypertrophy
990,pleural infection bacterial
991,overgrowth fungal
992,salivary gland cancer
993,protrusion tongue
994,radiotherapy to lymph nodes
995,buccal polyp
997,parasitic infection intestinal
998,callus formation delayed
999,haemoglobin normal
1000,subileus
1001,international normalised ratio increased
1002,tendon injury
1003,seborrhoeic dermatitis
1004,xxx syndrome
1005,pelvic infection
1006,reversal of ileojejunal bypass
1007,vascular access complication
1008,pollakiuria
1009,rett syndrome
1010,renal cancer stage ii
1011,parasite dna test positive
1012,lip and/or oral cavity cancer stage 0
1013,blood lactic acid
1014,biopsy bronchus
1015,traumatic delivery
1016,peptic ulcer helicobacter
1017,on and off phenomenon
1018,colitis ischaemic
1019,tricuspid valve prolapse
1020,pseudoporphyria
1021,crushing injury of trunk
1022,sinobronchitis
1023,brain oedema
1024,retinal dystrophy
1025,multiple hereditary exostosis
1026,pneumonia measles
1027,troponin t increased
1028,adenosquamous cell carcinoma
1029,cholelithiasis obstructive
1030,fluid wave test
1031,congenital oesophageal stenosis
1032,early onset familial alzheimer^s disease
1033,lymphocytic leukaemia
1034,hair metal test abnormal
1035,neutrophil function disorder
1036,breathing-related sleep disorder
1037,scan
1038,diplopia
1039,anterior capsule contraction
1040,surgical failure
1041,drug tolerance
1043,shunt occlusion
1044,mallet finger
1045,oral torus
1046,gastric fistula repair
1047,post inflammatory pigmentation change
1048,blood urine
1049,fracture delayed union
1051,malnutrition
1052,benign neoplasm of lacrimal gland
1053,beta haemolytic streptococcal infection
1054,measles antibody negative
1055,scleral haemorrhage
1056,dysplastic naevus syndrome
1057,vasopressive therapy
1058,malnutrition-inflammation-atherosclerosis syndrome
1059,effusion
1060,pseudophakodonesis
1061,renal transplant
1062,metastases to bone
1063,urinoma
1064,mucocutaneous flap necrosis
1065,blood calcium increased
1066,hypermetropia
1067,electroneuromyography
1068,sight disability
1069,saliva discolouration
1070,infusion site inflammation
1071,tuberous sclerosis complex
1072,myokymia
1073,cerebral venous thrombosis
1074,insomnia related to another mental condition
1075,bile duct adenocarcinoma
1076,splenic lesion
1077,granulomatous rosacea
1078,nervous system neoplasm
1079,compulsive cheek biting
1080,pneumonia cryptococcal
1081,mammogram
1082,epiphyses premature fusion
1083,arthritis gonococcal
1084,venoocclusive disease
1085,varicose veins pelvic
1086,hepatic mass
1087,shunt aneurysm
1088,compression garment application
1090,malpositioned teeth
1091,shrapnel wound
1092,autophony
1093,microsomia
1094,gallbladder pain
1095,syphilis
1096,factor i deficiency
1097,abscess sweat gland
1098,miscarriage of partner
1099,hepatic congestion
1100,cavernous sinus thrombosis
1101,urine albumin/creatinine ratio increased
1102,hepatic infarction
1103,gastric emptying study
1104,patient dissatisfaction with device
1105,bone fissure
1106,oligodendroglioma
1107,free thyroxine index decreased
1108,injection site joint discomfort
1109,rapid eye movement sleep behaviour disorder
1110,scedosporium infection
1111,acquired mixed hyperlipidaemia
1112,systemic lupus erythematosus disease activity index increased
1113,hepatic infection fungal
1114,borrelia infection
1115,lipolysis procedure
1116,hyperoxalaemia
1117,cerebellar haemangioma
1118,cognitive rehabilitation
1119,cd8 lymphocytes decreased
1120,restlessness
1121,abscess limb
1122,hair injury
1123,marcus gunn syndrome
1124,sucrose intolerance
1125,medulloblastoma
1126,renal artery thrombosis
1127,blood follicle stimulating hormone decreased
1128,allergy to animal
1129,gne myopathy
1130,mean cell haemoglobin concentration
1131,lymphogranuloma venereum
1132,pseudohyperkalaemia
1133,thyroid calcification
1134,uterine fibrosis
1135,clostridial infection
1136,device difficult to use
1137,bile duct cancer stage ii
1138,adductor vocal cord weakness
1139,ultrasound biliary tract
1140,metastases to pituitary gland
1141,bile duct cancer stage iv
1142,dilutional coagulopathy
1144,glossectomy
1145,uv light therapy
1146,transient lingual papillitis
1147,iris coloboma
1148,urticaria
1149,alpha-1 anti-trypsin
1150,puncture site erythema
1151,lesion of sciatic nerve
1152,glomerulosclerosis
1153,hepatitis b dna decreased
1154,infectious colitis
1155,mucocutaneous ulceration
1156,oncocytoma
1157,jejunal ulcer
1158,clot retraction abnormal
1159,testicular microlithiasis
1160,spinal cord injury
1161,base excess negative
1162,impulsive behaviour
1163,cardio-respiratory arrest
1164,duodenal polyp
1165,biopsy pleura abnormal
1166,eosinophil percentage abnormal
1167,lisfranc fracture
1169,pulmonary percussion test abnormality
1170,severe acute respiratory syndrome
1171,splinter haemorrhages
1172,risus sardonicus
1173,jaw operation
1174,cerebellar ischaemia
1177,blood growth hormone
1178,administration site mass
1179,vocal cord operation
1180,anal ulcer
1181,skin lesion removal
1182,stoma site odour
1183,corticosteroid binding globulin increased
1184,cardiac valve abscess
1185, with delusions
1186,acquired night blindness
1188,blood ketone body present
1189,pulmonary hilar enlargement
1190,somatoform disorder gastrointestinal
1191,drug monitoring procedure not performed
1192,medical device site recall reaction
1193,benign gastrointestinal neoplasm
1194,myopia
1195,medical device site joint erythema
1196,urine protein/creatinine ratio decreased
1197,arthroscopy abnormal
1198,erythema nodosum leprosum
1199,sweat discolouration
1200,mycobacteria blood test positive
1201,enterovesical fistula
1202,total lung capacity
1203,vascular resistance pulmonary increased
1204,pancreatic disorder
1205,endocrine disorder
1206,autoimmune neutropenia
1207,sudden onset of sleep
1208,aspartate aminotransferase normal
1209,suspiciousness
1210,pregnancy after post coital contraception
1211,ectopic ureter
1212,subdural hygroma
1213,fontanelle depressed
1214,macular detachment
1216,enanthema
1217,penile squamous cell carcinoma
1218,hypermagnesuria
1219,aqueous fibrin
1220,anal pap smear
1221,muscular sarcoidosis
1222,serology positive
1223,ecg signs of ventricular hypertrophy
1224,capsular contracture associated with breast implant
1225,flat affect
1226,thyroid nodule removal
1227,bleeding time
