	sideefects
240	, hair plucking
241	, coccygectomy
242	, syphilis test positive
243	, calculus urethral
244	, kidney duplex
245	, otitis externa
246	, csf hiv escape syndrome
247	, pneumocephalus
248	, viraemia
249	, overconfidence
250	, emergency care
251	, pyloromyotomy
252	, cervical bulla
253	, epididymitis
254	, toxoplasmosis
255	, suggestibility
256	, brugada syndrome
257	, cyclitic membrane
258	, splenic candidiasis
259	, amblyopia strabismic
260	, sudden unexplained death in epilepsy
261	, asthma prophylaxis
262	, sputum test
263	, pachymeningitis
264	, weaning failure
265	, epiphysitis
266	, device loosening
267	, serum ferritin
268	, donor leukocyte infusion
269	, colitis microscopic
270	, barbiturates
271	, gingival atrophy
272	, stress
273	, adult polyglucosan body disease
274	, biliary ischaemia
275	, face and mouth x-ray
276	, platelet count
277	, pallidotomy
278	, oesophagoscopy
279	, epilepsy
280	, hypoglycaemia unawareness
281	, cholecystocholangitis
282	, yawning
283	, ear piercing
284	, thymus abscess
285	, glossoptosis
286	, locked-in syndrome
287	, insomnia
288	, eye rolling
289	, vascular encephalopathy
290	, primary biliary cholangitis
291	, paraphilia
292	, fear of pregnancy
293	, depressive symptom
294	, right aortic arch
295	, bankruptcy
296	, death neonatal
297	, gas poisoning
298	, neurogenic shock
299	, colonic lavage
300	, terminal dribbling
301	, alveolar capillary dysplasia
302	, bite
303	, difficulty in walking
304	, intranasal numbness
305	, swollen joint count
306	, rosai-dorfman syndrome
307	, oculomucocutaneous syndrome
308	, food hoarding
309	, decompression sickness
310	, jamais vu
311	, oral discharge
312	, x-ray dental
313	, dellen
314	, post-traumatic osteoporosis
315	, dyslogia
316	, lordosis
317	, knuckle pads
318	, plasma cell leukaemia
319	, bromhidrosis
320	, gingivitis ulcerative
321	, laser brain ablation
322	, sensation of heaviness
323	, idiopathic partial epilepsy
324	, limb injury
325	, adulterated product
326	, device used for unapproved schedule
327	, peripheral swelling
328	, malacoplakia
329	, refractory cancer
330	, immune-mediated necrotising myopathy
331	, stertor
332	, cataract subcapsular
333	, chrysiasis
334	, scleral buckling surgery
335	, hepatic cancer
336	, illogical thinking
337	, exsanguination
338	, ovarian rupture
339	, product dropper issue
340	, vulval polyp
341	, fear of disease
342	, gout
343	, ovulation delayed
344	, surgery
345	, ketosis
346	, dysentery
347	, abasia
348	, subconjunctival injection procedure
349	, double ureter
350	, drug dependence
351	, alkalosis
352	, exostosis of jaw
353	, blighted ovum
354	, hyperaemia
355	, neurocryptococcosis
356	, pain in jaw
357	, osteitis
358	, epididymitis tuberculous
359	, amygdalotomy
360	, trigemino-cardiac reflex
361	, phobia of driving
362	, nasal odour
363	, hepatomegaly
364	, abnormal palmar/plantar creases
365	, migraine with aura
366	, paedophilia
367	, hypertensive crisis
368	, eczema herpeticum
369	, blood test
370	, hyperamylasaemia
371	, hypertrophy
372	, drooping shoulder syndrome
373	, heart rate
374	, transaminases
375	, toothache
376	, gammopathy
377	, ear pain
378	, cerebral lobotomy
379	, solar urticaria
380	, hepcidin test
381	, exposure to lead
382	, nongerminomatous germ cell tumour of the cns
383	, hypotonic-hyporesponsive episode
384	, iodine overload
385	, stent-graft endoleak
386	, mycoplasma test
387	, sinusitis fungal
388	, macular hole
389	, oculocardiac reflex
390	, tryptase
391	, meconium ileus
392	, hyoid bone suspension
393	, purulence
394	, thyroiditis
395	, cervix cerclage procedure
396	, paranasal cyst
397	, thymectomy
398	, glossodynia
399	, accessory breast
400	, impaired reasoning
401	, rotator cuff syndrome
402	, tenolysis
403	, bleeding peripartum
404	, thymoma malignant
405	, metastases to diaphragm
406	, symptom masked
407	, child neglect
408	, epileptic psychosis
409	, exposure via blood
410	, homeless
411	, laryngeal web
412	, clang associations
413	, non-consummation
414	, thyroxin binding globulin
415	, thought withdrawal
416	, cytology
417	, fear of animals
418	, ecg signs of myocardial ischaemia
419	, diabetic diet
420	, fumbling
421	, serology negative
422	, somnambulism
423	, urinary straining
424	, induction of cervix ripening
425	, fungaemia
426	, cd30 expression
427	, blood 1
428	, ileitis
429	, carcinogenicity
430	, cystitis klebsiella
431	, white clot in blood present
432	, vaginal cuff dehiscence
433	, mass
434	, hypnopompic hallucination
435	, sinus rhythm
436	, hypocalvaria
437	, aniseikonia
438	, tongue biting
439	, delirium febrile
440	, heat exhaustion
441	, heat exposure injury
442	, performance fear
443	, middle lobe syndrome
444	, sputum retention
445	, colonic atony
446	, poliomyelitis
447	, premature baby death
448	, joint ankylosis
449	, gasping syndrome
450	, facet joint block
451	, primary cardiac lymphoma
452	, vomiting
453	, paroxysmal arrhythmia
454	, prurigo
455	, hypopnoea
456	, burnout syndrome
457	, facial dysmorphism
458	, pica
459	, lupus vasculitis
460	, temperature difference of extremities
461	, mycobacterium test
462	, product deposit
463	, fingerprint loss
464	, cystatin c
465	, burning mouth syndrome
466	, cartilage-hair hypoplasia
467	, follicular mucinosis
468	, scab
469	, immune recovery uveitis
470	, scar
471	, coloboma
472	, sports injury
473	, opisthotonus
474	, orchidopexy
475	, platelet dysfunction
476	, tendon transfer
477	, vestibular ataxia
478	, feelings of worthlessness
479	, epididymectomy
480	, nodule on extremity
481	, stomach lesion excision
482	, pulmonary toxicity
483	, flank pain
484	, areflexia
485	, proctalgia fugax
486	, rhinalgia
487	, mixed salivary tumour
488	, coprolalia
489	, paraplegia
490	, magical thinking
491	, tooth impacted
492	, pylorospasm
493	, paradoxical embolism
494	, oculogyric crisis
495	, voluntary redundancy
496	, gingival cyst
497	, plasmacytoma
498	, diverticulum
499	, spinal pain
500	, accessory cardiac pathway
501	, craniopharyngioma benign
502	, wrong schedule
503	, housebound
504	, vogt-koyanagi-harada syndrome
505	, cervix dystocia
506	, blood phosphorus
507	, phaeohyphomycotic brain abscess
508	, cytotoxic oedema
509	, cataract congenital
510	, unwanted pregnancy
511	, product leakage
512	, bedridden
513	, palpable purpura
514	, venom poisoning
515	, high risk pregnancy
516	, binge eating
517	, thyroid gland injury
518	, delayed dark adaptation
519	, corneal touch
520	, mucoepidermoid carcinoma
521	, naevus flammeus
522	, atrial flutter
523	, brachial plexus injury
524	, constricted affect
525	, schistosoma test positive
526	, foraminotomy
527	, hyphaema
528	, bone callus excessive
529	, ovarian fibroma
530	, high-pitched crying
531	, angiopathy
532	, post stroke depression
533	, sluggishness
534	, nasal adhesions
535	, upper-airway cough syndrome
536	, labour pain
537	, diastema
538	, coma scale
539	, self esteem decreased
540	, condom
541	, dental alveolar anomaly
542	, limbal stem cell deficiency
543	, lip pain
544	, psychogenic seizure
545	, vulvovaginal pruritus
546	, uveitis
547	, epiglottic erythema
548	, gallbladder volvulus
549	, braf v600e mutation positive
550	, head injury
551	, pseudoangina
552	, egocentrism
553	, cellulitis staphylococcal
554	, c-kit gene mutation
555	, fear of open spaces
556	, necrolytic migratory erythema
557	, mucosal roughness
558	, accessory liver lobe
559	, spastic paraplegia
560	, live birth
561	, bacterial toxaemia
562	, drug withdrawal convulsions
563	, chlamydia test
564	, whiplash injury
565	, asthma late onset
566	, high frequency ablation
567	, palindromic rheumatism
568	, sensory loss
569	, choledochectomy
570	, end stage aids
571	, feeling guilty
572	, myositis
573	, sleep phase rhythm disturbance
574	, vocal cord disorder
575	, antipyresis
576	, nail pitting
577	, basal ganglia haematoma
578	, pseudopolyposis
579	, agitation
580	, catheter site hypersensitivity
581	, acardia
582	, lymphangioma
583	, sickle cell anaemia with crisis
584	, arachnodactyly
585	, excessive eye blinking
586	, gonadal dysgenesis
587	, cervicitis gonococcal
588	, pubic pain
589	, synovectomy
590	, eye symptom
591	, female sexual arousal disorder
592	, infertility
593	, food refusal
594	, foetal haemoglobin
595	, school refusal
596	, injury of conjunctiva
597	, sense of a foreshortened future
598	, dysaesthesia pharynx
599	, cockroach allergy
600	, mitral valve hypoplasia
601	, adenolymphoma
602	, crying
603	, exposure to noise
604	, eyelid tumour
605	, postictal state
606	, lupus pleurisy
607	, cerebral arteritis
608	, trismus
609	, maxillonasal dysplasia
610	, acquired epiblepharon
611	, excessive skin
612	, tumour budding
613	, tooth infection
614	, biopsy tongue
615	, ballismus
616	, ovarian agenesis
617	, buttock injury
618	, jaundice cholestatic
619	, tonsillolith
620	, varicocele
621	, gender reassignment therapy
622	, polytraumatism
623	, exertional headache
624	, albuminuria
625	, tilt table test
626	, dry mouth
627	, cardiac fibroma
628	, mixed deafness
629	, eczema eyelids
630	, alpha 1 foetoprotein
631	, glucose-6-phosphate dehydrogenase deficiency
632	, glucose urine
633	, eyelash changes
634	, lung lobectomy
635	, brain hypoxia
636	, pancreatic injury
637	, buccal cavity papilloma
638	, fistulotomy
639	, venous valve ruptured
640	, low turnover osteopathy
641	, early satiety
642	, lymphangioleiomyomatosis
643	, diabetes insipidus
644	, graft ischaemia
645	, foeticide
646	, no adverse effect
647	, jaw cyst
648	, bone trimming
649	, rubella
650	, rabies
651	, tongue haematoma
652	, eczema asteatotic
653	, malignant pituitary tumour
654	, night blindness
655	, lip repair
656	, pelvic cyst
657	, scratch
658	, laziness
659	, chlamydia serology
660	, vulval abscess
661	, flashback
662	,  mixed
663	, mycotic allergy
664	, egfr status assay
665	, joint adhesion
666	, tuberculin test
667	, body mass index
668	, myelopathy
669	, sudden cardiac death
670	, obesity
671	, neck pain
672	, pneumobilia
673	, pogosta disease
674	, salvage therapy
675	, quadriparesis
676	, hiv lipodystrophy
677	, urethral meatotomy
678	, drug addict
679	, hepatic steato-fibrosis
680	, biopsy pancreas
681	, discoloured vomit
682	, eyelid cyst
683	, myasthenia gravis crisis
684	, toe walking
685	, parvovirus b19 serology positive
686	, varicella
687	, hypotony of eye
688	,  iii refractory
689	, haematology test
690	, sexual abuse
691	, delirium tremens
692	, muscular weakness
693	, non-cirrhotic portal hypertension
694	, acceleromyography
695	, nutritional support
696	, neurolysis
697	, infrapatellar fat pad inflammation
698	, hyperdynamic left ventricle
699	, melanoplakia oral
700	, nasal polypectomy
701	, menopause delayed
702	, vitreous haze
703	, hydranencephaly
704	, haemophilus sepsis
705	, vulva cyst
706	, face lift
707	, ocular rosacea
708	, loss of control of legs
709	, stab wound
710	, grip strength
711	, chromoblastomycosis
712	, endoscopy
713	, mumps
714	, hand crushing
715	, ct hypotension complex
716	, seborrhoea
717	, biopsy lip
718	, apgar score
719	, vestibuloplasty
720	, cns germinoma
721	, micropenis
722	, iridotomy
723	, exercise test
724	, compulsions
725	, urogram
726	, vulvar erosion
727	, alcoholic liver disease
728	, prosopagnosia
729	, eye laser surgery
730	, therapy naive
731	, kidney transplant rupture
732	, dysmorphism
733	, faecaloma
734	, myxofibrosarcoma
735	, agoraphobia
736	, leukocyturia
737	, mixed liver injury
738	, tongue cyst
739	, cloacal exstrophy
740	, wisdom teeth removal
741	, tooth disorder
742	, mouth plaque
743	, cardiac murmur
744	, erythrasma
745	, impaired work ability
746	, bone groove deepening
747	, azotaemia
748	, oedematous kidney
749	, childhood depression
750	, lip pruritus
751	, lymphoblastosis
752	, cardiac valve vegetation
753	, alcohol problem
754	, chills
755	, purple glove syndrome
756	, penile cancer
757	, carbon monoxide poisoning
758	, spermatic cord mass
759	, diffusion-weighted brain mri abnormal
760	, fear of eating
761	, prostitute
762	, trigger finger
763	, alopecia
764	, catheter site haematoma
765	, burns second degree
766	, device colour issue
767	, hepatic cyst
768	, skin warm
769	, cold-stimulus headache
770	, metastases to lymph nodes
771	, oedema mouth
772	, craniorachischisis
773	, epiglottic mass
774	, holmes tremor
775	, virologic failure
776	, exposure to communicable disease
777	, metastases to abdominal wall
778	, hand-foot-genital syndrome
779	, diffuse lamellar keratitis
780	, euphoric mood
781	, her-2 protein overexpression
782	, gastric xanthoma
783	, angina bullosa haemorrhagica
784	, fulguration
785	, argyria
786	, primary ciliary dyskinesia
787	, cephalo-pelvic disproportion
788	, carditis
789	, slit-lamp tests abnormal
790	, cerebral reperfusion injury
791	, pterygium
792	, deaf mutism
793	, fibrodysplasia ossificans progressiva
794	, chemotherapy extravasation management
795	, dyscalculia
796	, amniorrhexis
797	, ammonia abnormal
798	, thyroid cyst
799	, endosalpingiosis
800	, cyclopia
801	, hla marker study
802	, jugular vein thrombosis
803	, non-24-hour sleep-wake disorder
804	, babesiosis
805	, aneurysm
806	, mirror syndrome
807	, supranuclear palsy
808	, device programming error
809	, granuloma skin
810	, measles
811	, leishmaniasis
812	, heat rash
813	, thumb sucking
814	, petechiae
815	, dysuria
816	, hyperactive pharyngeal reflex
817	, umbilical discharge
818	, vocal cord cyst
819	, karnofsky scale
820	, skin bleeding
821	, jaundice acholuric
822	, familial amyloidosis
823	, oral herpes
824	, drug dispensed to wrong patient
825	, meningitis
826	, delayed delivery
827	, vulval neoplasm
828	, nasal dryness
829	, biliary hamartoma
830	, fungal rash
831	, jejunitis
832	, ephelides
833	, tattoo
834	, amimia
835	, gastric polyps
836	, soft tissue atrophy
837	, polyp
838	, nervous system cyst
839	, bone oedema
840	, unequal leg length acquired
841	, diphtheria
842	, selective mutism
843	, hemihypertrophy
844	, product impurity
845	, ileocolic bypass
846	, viral sepsis
847	, teratogenicity
848	, convulsion prophylaxis
849	, haematology test abnormal
850	, myiasis
851	, hair-thread tourniquet syndrome
852	, shunt blood flow excessive
853	, rhinosporidiosis
854	, desmoid tumour
855	, vomiting psychogenic
856	, burn oral cavity
857	, csf shunt removal
858	, biopsy lung
859	, familial hemiplegic migraine
860	, stress symptoms
861	, swollen tongue
862	, cataract diabetic
863	, head and neck cancer
864	, abnormal faeces
865	, ultrasound kidney
866	, metatarsus primus varus
867	, clamping of blood vessel
868	, brain mass
869	, eye laser scar
870	, vulval leukoplakia
871	, delivery
872	, seasonal allergy
873	, crowned dens syndrome
874	, stoma obstruction
875	, pulmonary valve repair
876	, vein pain
877	, allergy prophylaxis
878	, coccidioides encephalitis
879	, excessive exercise
880	, oligoastrocytoma
881	, bloody discharge
882	, spinal empyema
883	, metastases to kidney
884	, illusion
885	, pharyngeal pouch
886	, night sweats
887	, discogram
888	, keratosis obturans
889	, ischaemia
890	, excessive ocular convergence
891	, disseminated cryptococcosis
892	, ex-drug abuser
893	, ethmoid sinus surgery
894	, acne cystic
895	, meningitis mumps
896	, peri-implantitis
897	, gram stain negative
898	, cleft lip repair
899	, skin plaque
900	, reproductive toxicity
901	, tinea blanca
902	, nodule
903	, skinfold measurement
904	, chest injury
905	, corrosive oropharyngeal injury
906	, spinal cord injury cauda equina
907	, cystic fibrosis
908	, vitrectomy
909	, cinchonism
910	, illiteracy
911	, tandem gait test
912	, perinephric oedema
913	, bile output
914	, oligomenorrhoea
915	, lupus encephalitis
916	, koebner phenomenon
917	, blepharophimosis
918	, metastases to oesophagus
919	, extradural haematoma
920	, paraproteinaemia
921	, nodular melanoma
922	, kidney small
923	, sinus headache
924	, miller fisher syndrome
925	, economic problem
926	, multi-vitamin deficiency
927	, iniencephaly
928	, bladder dysplasia
929	, desmoplastic melanoma
930	, oophorectomy
931	, immunosuppressant drug therapy
932	, infusion
933	, brown tumour
934	, kwashiorkor
935	, bowel movement irregularity
936	, divorced
937	, mini-tracheostomy
938	, exposure to toxic agent
939	, apgar score low
940	, prescription form tampering
941	, glassy eyes
942	, vulval cancer
943	, pectus excavatum
944	, abscess
945	, vulvar melanosis
946	, grip strength decreased
947	, thyroglossal cyst
948	, purging
949	, pain management
950	, prealbumin
951	, pinguecula
952	, chromosomal mutation
953	, muscular dystrophy
954	, drug dose omission by device
955	, acupuncture
956	, myringotomy
957	, dropped head syndrome
958	, megakaryocytes
959	, eczema nummular
960	, alexia
961	, artificial anus
962	, spondylolisthesis
963	, agonal death struggle
964	, stroke in evolution
965	, lichen nitidus
966	, escherichia vaginitis
967	, haemolytic anaemia enzyme specific
968	, blood elastase
969	, spermatocele
970	, microscopy
971	, severe fever with thrombocytopenia syndrome
972	, lack of spontaneous speech
973	, generalised erythema
974	, cell marker
975	, coccidioidomycosis
976	, mucosa vesicle
977	, colitis erosive
978	, eye burns
979	, faecal occult blood
980	, antifungal treatment
981	, acute haemorrhagic oedema of infancy
982	, recession of chamber angle of eye
983	, venous insufficiency
984	, wrong drug
985	, rectal polyp
986	, inadequate osteointegration
987	, muscle cramp
988	, glomus jugulare tumour
989	, staphyloma
990	, prepuce redundant
991	, non-economic loss
992	, cancer pain
993	, lentigo
994	, pain exacerbated
995	, nasal crusting
996	, occupational asthma
997	, subglottic laryngitis
998	, gait spastic
999	, hbv dna increased
1000	, polymorphic light eruption
1001	, dry eye
1002	, dreamy state
1003	, bradykinesia
1004	, meningeal leukaemia
1005	, sensory processing disorder
1006	, hyperchlorhydria
1007	, cystic lung disease
1008	, deafness neurosensory
1009	, multiple injuries
1010	, lip erosion
1011	, premenarche
1012	, hemiplegia
1013	, venomous bite
1014	, vasa praevia
1015	, ophthalmoplegia
1016	, elective procedure
1017	, truancy
1018	, dyslalia
1019	, rift valley fever
1020	, bilevel positive airway pressure
1021	, enzyme inhibition
1022	, tonsillar cyst
1023	, cryoglobulins
1024	, urticaria papular
1025	, ecg p wave inverted
1026	, pelvic mass
1027	, paraparesis
1028	, tension headache
1029	, threat of redundancy
1030	, small-for-size liver syndrome
1031	, seizure
1032	, fibrin d dimer normal
1033	, phakomatosis
1034	, otoplasty
1035	, withdrawal bleed
1036	, blunted affect
1037	, spastic diplegia
1038	, tumour lysis syndrome
1039	, bronchopneumonia
1040	, hepatic gas gangrene
1041	, leukoplakia oesophageal
1042	, tongue polyp
1043	, white clot syndrome
1044	, gastric sarcoma
1045	, eye muscle entrapment
1046	, oral allergy syndrome
1047	, ovarian torsion
1048	, premenstrual syndrome
1049	, murine typhus
1050	, anti-complement antibody
1051	, cylindruria
1052	, hot flush
1053	, thyroid fibrosis
1054	, osteosynthesis
1055	, high-grade b-cell lymphoma
1056	, phobic avoidance
1057	, tracheal pain
1058	, dolichocolon acquired
1059	, pericardial mass
1060	, biopsy soft tissue
1061	, lymphoma
1062	, phosphenes
1063	, neuropathic pain
1064	, drug cross-reactivity
1065	, starvation
1066	, idiopathic angioedema
1067	, cardiac cirrhosis
1068	, psittacosis
1069	, graft overgrowth
1070	, musculoskeletal stiffness
1071	, placenta praevia
1072	, exposure to violent event
1073	, stasis dermatitis
1074	, teratoma of testis
1075	, eye ulcer
1076	, autophobia
1077	, tumour marker test
1078	, inappropriate device programming
1079	, dural tear
1080	, skull fracture
1081	, lymphoplasia
1082	, throat tightness
1083	, feeling hot
1084	, ludwig angina
1085	, hepatic rupture
1086	, product storage error
1087	, sialectasia
1088	, human anaplasmosis
1089	, subdural effusion
1090	, desquamation gingival
1091	, medical device site hypersensitivity
1092	, device effect decreased
1093	, duodenal fistula
1094	, volvulus of bowel
1095	, combined pulmonary fibrosis and emphysema
1096	, extravasation
1097	, skin pressure mark
1098	, exposure via semen
1099	, hereditary ataxia
1100	, subcutaneous nodule
1101	, biliary cyst
1102	, device kink
1103	, carcinogenic effect in offspring
1104	, benign colonic polyp
1105	, angiokeratoma
1106	, non-cardiac chest pain
1107	, rachitic rosary
1108	, premature baby
1109	, myelomalacia
1110	, syncope vasovagal
1111	, caecopexy
1112	, psychosocial support
1113	, chondrodynia
1114	, epiglottic cyst
1115	, diarrhoea
1116	, unequal limb length
1117	, urine output
1118	, hypopyon
1119	, burn of internal organs
1120	, device-device incompatibility
1121	, solar elastosis
1122	, skin adhesion
1123	, pneumonia lipoid
1124	, rebound eczema
1125	, exposed bone in jaw
1126	, psychomotor skills impaired
1127	, angina gangrenous
1128	, propofol infusion syndrome
1129	, brain damage
1130	, omphalitis
1131	, stoma site oedema
1132	, wrong dose
1133	, tracheal web
1134	, myositis ossificans
1135	, mouth cyst
1136	, impaired gastric emptying
1137	, locomotive syndrome
1138	, sphincter of oddi dysfunction
1139	, retro-pubic prostatectomy
1140	, sigmoidoscopy
1141	, choroidal dystrophy
1142	, nystagmus
1143	, base excess positive
1144	, bronchogenic cyst
1145	, sleep study
1146	, fungus body fluid identified
1147	, hiv test negative
1148	, photorefractive keratectomy
1149	, folliculitis
1150	, epstein-barr viraemia
1151	, corpora cavernosa surgery
1152	, post-anoxic myoclonus
1153	, oocyte donor
1154	, hooded prepuce
1155	, biopsy vulva
1156	, kabuki make-up syndrome
1157	, roux loop conversion
1158	, herpes sepsis
1159	, stridor
1160	, hypothenar hammer syndrome
1161	, hearing aid user
1162	, spousal abuse
1163	, blood folate
1164	, dyschezia
1165	, rash papular
1166	, mixed hepatocellular-cholestatic injury
1167	, belligerence
1168	, thirst
1169	, achlorhydria
1170	, yellow nail syndrome
1171	, coma neonatal
1172	, uterine polyp
1173	, loss of employment
1174	, gun shot wound
1175	, mitochondrial toxicity
1176	, marsupialisation
1177	, pingueculitis
1178	, adipomastia
1179	, dermo-hypodermitis
1180	, skeletal injury
1181	, normal pressure hydrocephalus
1182	, heat oedema
1183	, gingival injury
1184	, plasmablastic lymphoma
1185	, adiposis dolorosa
1186	, child abuse
1187	, biliary sepsis
1188	, vestibular nystagmus
1189	, refractory anaemia
1190	, sleep deficit
1191	, swallow study abnormal
1192	, gingivitis
1193	, metastases to meninges
1194	, seizure cluster
1195	, post-traumatic pain
1196	, hemipelvectomy
1197	, avian influenza
1198	, 5'-oligoadenylate synthetase test increased
1199	, pythium insidiosum infection
1200	, tumour of ampulla of vater
1201	, walking aid user
1202	, lymphoedema
1203	, bladder metaplasia
1204	, acoustic shock
1205	, anencephaly
1206	, alcoholism
1207	, milk-alkali syndrome
1208	, nasal sinus drainage
1209	, metastatic glioma
1210	, limb prosthesis user
1211	, hepatitis b dna assay
1212	, acquired porphyria
1213	, oedema neonatal
1214	, transient psychosis
1215	, blood corticotrophin
1216	, itching scar
1217	, systemic sclerosis
1218	, hypercapnia
1219	, proximal focal femoral deficiency
1220	, blood chloride
1221	, brain midline shift
1222	, bone graft
1223	, poverty of speech
1224	, syndesmophyte
1225	, eye opacity
1226	, eustachian tube stenosis
1227	, vasospasm
1228	, aura
1229	, floating patella
1230	, acanthoma
1231	, preoperative hormone treatment
1232	, dyslexia
1233	, floppy infant
1234	, wheezing
1235	, arteriosclerosis moenckeberg-type
1236	, oesophagogastric fundoplasty
1237	, hiv test
1238	, laminaplasty
1239	, alcoholic
1240	, cluster headache
1241	, muscle tightness
1242	, blood bilirubin
1243	, apraxia
1244	, phacotrabeculectomy
1245	, deja vu
1246	, petit mal epilepsy
1247	, pseudocyst
1248	, extra-osseous ewing's sarcoma recurrent
1249	, erythema elevatum diutinum
1250	, diuretic therapy
1251	, scarlet fever
1252	, vascular anomaly
1253	, nicotine poisoning
1254	, cutaneous t-cell dyscrasia
1255	, biliary polyp
1256	, death
1257	, pyloric sphincter insufficiency
1258	, animal attack
1259	, daydreaming
1260	, cold sweat
