	sideefects
222	, post-traumatic headache
223	, maternal therapy to enhance foetal lung maturity
224	, nodular rash
225	, vaginal polyp
226	, erythema
227	, acquired foramen magnum stenosis
228	, podagra
229	, ventouse extraction
230	, biliary fistula
231	, living alone
232	, biopsy epididymis abnormal
233	, mononucleosis syndrome
234	, strongyloidiasis
235	, double cortex syndrome
236	, anhedonia
237	, kidney hypermobility
238	, hyposideraemia
239	, cardiac massage
240	, choking sensation
241	, vasodilatation
242	, tobacco poisoning
243	, anogenital dysplasia
244	, accident at home
245	, keratoplasty
246	, tumour pain
247	, penile repair
248	, fascioliasis
249	, acquired growth hormone resistance
250	, urethral stricture postoperative
251	, cows milk free diet
252	, disorder of sex development
253	, vascular endothelial growth factor overexpression
254	, eyelid boil
255	, unevaluable therapy
256	, urinary incontinence
257	, perfume sensitivity
258	, abscess of salivary gland
259	, ejaculation delayed
260	, otorhinolaryngological surgery
261	, caregiver
262	, overgrowth fungal
263	, buccal polyp
264	, subileus
265	, tendon injury
266	, xxx syndrome
267	, reversal of ileojejunal bypass
268	, blood lactic acid
269	, peptic ulcer helicobacter
270	, pseudoporphyria
271	, crushing injury of trunk
272	, multiple hereditary exostosis
273	, cholelithiasis obstructive
274	, fluid wave test
275	, early onset familial alzheimer^s disease
276	, scan
277	, diplopia
278	, mallet finger
279	, oral torus
280	, blood urine
281	, dysplastic naevus syndrome
282	, vasopressive therapy
283	, effusion
284	, pseudophakodonesis
285	, sight disability
286	, tuberous sclerosis complex
287	, myokymia
288	, compulsive cheek biting
289	, mammogram
290	, epiphyses premature fusion
291	, hepatic mass
292	, shunt aneurysm
293	, syphilis
294	, miscarriage of partner
295	, hepatic congestion
296	, gastric emptying study
297	, bone fissure
298	, oligodendroglioma
299	, restlessness
300	, abscess limb
301	, hair injury
302	, marcus gunn syndrome
303	, medulloblastoma
304	, allergy to animal
305	, gne myopathy
306	, lymphogranuloma venereum
307	, adductor vocal cord weakness
308	, metastases to pituitary gland
309	, dilutional coagulopathy
310	, glossectomy
311	, uv light therapy
312	, iris coloboma
313	, urticaria
314	, alpha-1 anti-trypsin
315	, oncocytoma
316	, jejunal ulcer
317	, testicular microlithiasis
318	, spinal cord injury
319	, base excess negative
320	, impulsive behaviour
321	, duodenal polyp
322	, risus sardonicus
323	, jaw operation
324	, skin lesion removal
325	, total lung capacity
326	, sudden onset of sleep
327	, suspiciousness
328	, ectopic ureter
329	, subdural hygroma
330	, fontanelle depressed
331	, macular detachment
332	, enanthema
333	, aqueous fibrin
334	, anal pap smear
335	, serology positive
336	, flat affect
337	, bleeding time
338	, pseudobulbar palsy
339	, stenotrophomonas infection
340	, onychogryphosis
341	, legionella serology positive
342	, appendix adenoma
343	, adenopathy syphilitic
344	, aphonia
345	, swollen tear duct
346	, ovarian failure
347	, product caught fire
348	, cyanosis
349	, monarthritis
350	, human bite
351	, penile blister
352	, paradoxical pain
353	, nasal sinus cancer
354	, haemorrhoid operation
355	, breath holding
356	, poems syndrome
357	, auscultation
358	, epicondylitis
359	, gallbladder fistula
360	, sinus arrest
361	, symmetrical drug-related intertriginous and flexural exanthema
362	, phobia of flying
363	, acquired claw toe
364	, pleurothotonus
365	, laryngeal mask airway insertion
366	, diffuse axonal injury
367	, deafness permanent
368	, tooth development disorder
369	, genitals enlarged
370	, pseudofracture
371	, gallbladder non-functioning
372	, penile wart
373	, eosinophilia
374	, glaucoma surgery
375	, hair plucking
376	, rash pustular
377	, reaction to food additive
378	, catatonia
379	, coccygectomy
380	, tachycardia induced cardiomyopathy
381	, syphilis test positive
382	, calculus urethral
383	, kidney duplex
384	, otitis externa
385	, palatal dysplasia
386	, csf hiv escape syndrome
387	, dysplastic naevus
388	, pneumocephalus
389	, off label use of device
390	, viraemia
391	, narcotic intoxication
392	, overconfidence
393	, emergency care
394	, rheumatoid lung
395	, pyloromyotomy
396	, olfactory nerve agenesis
397	, cervical bulla
398	, epididymitis
399	, removal of foreign body from larynx
400	, toxoplasmosis
401	, renal failure neonatal
402	, suggestibility
403	, brugada syndrome
404	, cyclitic membrane
405	, splenic candidiasis
406	, amblyopia strabismic
407	, sudden unexplained death in epilepsy
408	, local swelling
409	, asthma prophylaxis
410	, nervous system surgery
411	, sputum test
412	, psychiatric symptom
413	, pachymeningitis
414	, vulvovaginal discomfort
415	, choroidal rupture
416	, mumps antibody test negative
417	, abortion
418	, electrolyte depletion
419	, weaning failure
420	, degeneration of uterine fibroid
421	, pneumothorax traumatic
422	, epiphysitis
423	, anal fissure excision
424	, device loosening
425	, serum ferritin
426	, sacral pain
427	, donor leukocyte infusion
428	, colitis microscopic
429	, barbiturates
430	, gingival atrophy
431	, stress
432	, pneumoconiosis
433	, adult polyglucosan body disease
434	, biliary ischaemia
435	, face and mouth x-ray
436	, gallbladder obstruction
437	, platelet count
438	, pallidotomy
439	, depressive delusion
440	, oesophagoscopy
441	, epilepsy
442	, tissue injury
443	, imperforate oesophagus
444	, bone graft removal
445	, alpha 1 microglobulin
446	, hypoglycaemia unawareness
447	, cholecystocholangitis
448	, yawning
449	, blood homocysteine
450	, ear piercing
451	, reticulocyte haemoglobin equivalent
452	, mycosis fungoides
453	, thymus abscess
454	, campylobacter sepsis
455	, glossoptosis
456	, upper limb deformity
457	, locked-in syndrome
458	, insomnia
459	, product use in unapproved indication
460	, eye rolling
461	, vascular encephalopathy
462	, psychotic symptom
463	, occupational exposure to extreme temperature
464	, prophylaxis
465	, primary biliary cholangitis
466	, paraphilia
467	, fear of pregnancy
468	, urine phosphorus abnormal
469	, depressive symptom
470	, right aortic arch
471	, investigation
472	, bankruptcy
473	, death neonatal
474	, gas poisoning
475	, neurogenic shock
476	, physical disability
477	, colonic lavage
478	, terminal dribbling
479	, violence-related symptom
480	, free androgen index decreased
481	, alveolar capillary dysplasia
482	, lymphadenitis viral
483	, premature menopause
484	, desquamation mouth
485	, meibomianitis
486	, bite
487	, arthritis helminthic
488	, difficulty in walking
489	, intranasal numbness
490	, qrs axis abnormal
491	, swollen joint count
492	, tongue oedema
493	, rosai-dorfman syndrome
494	, fluid replacement
495	, oculomucocutaneous syndrome
496	, anti factor v antibody
497	, ovarian cyst torsion
498	, acquired cystic kidney disease
499	, blood smear test
500	, oesophageal stent removal
501	, food hoarding
502	, decompression sickness
503	, thymus disorder
504	, gingival recession
505	, jamais vu
506	, oral discharge
507	, conjunctival haemorrhage
508	, x-ray dental
509	, dellen
510	, post-traumatic osteoporosis
511	, pyoderma gangrenosum
512	, tinea manuum
513	, dyslogia
514	, progressive cerebellar degeneration
515	, spinal cord abscess
516	, fluid balance assessment
517	, lordosis
518	, radiculitis
519	, airway complication of anaesthesia
520	, knuckle pads
521	, borderline leprosy
522	, plasma cell leukaemia
523	, malignant catatonia
524	, bromhidrosis
525	, gingivitis ulcerative
526	, osteopenia
527	, intracranial germ cell tumour
528	, candida retinitis
529	, duodenal vascular ectasia
530	, laser brain ablation
531	, sensation of heaviness
532	, idiopathic partial epilepsy
533	, septum pellucidum agenesis
534	, limb injury
535	, adulterated product
536	, hepatitis infectious mononucleosis
537	, aplasia
538	, blindness transient
539	, device used for unapproved schedule
540	, product sterility lacking
541	, foetal valproate syndrome
542	, lateral medullary syndrome
543	, peripheral swelling
544	, artificial heart device user
545	, malacoplakia
546	, gastrostomy tube insertion
547	, refractory cancer
548	, immune-mediated necrotising myopathy
549	, thyroid tuberculosis
550	, stertor
551	, cataract subcapsular
552	, adjusted calcium
553	, chrysiasis
554	, scleral buckling surgery
555	, hepatic cancer
556	, iritic melanoma
557	, testotoxicosis
558	, illogical thinking
559	, exsanguination
560	, ovarian rupture
561	, neutrophilia
562	, encephalomalacia
563	, haemorrhagic ovarian cyst
564	, product dropper issue
565	, vulval polyp
566	, fear of disease
567	, gout
568	, ovulation delayed
569	, surgery
570	, ketosis
571	, dysentery
572	, abasia
573	, subconjunctival injection procedure
574	, sweat gland tumour
575	, double ureter
576	, drug dependence
577	, alkalosis
578	, exostosis of jaw
579	, blighted ovum
580	, hyperaemia
581	, neurocryptococcosis
582	, pain in jaw
583	, osteitis
584	, broncholithiasis
585	, caecitis
586	, epididymitis tuberculous
587	, digital ulcer
588	, unintentional use for unapproved indication
589	, amygdalotomy
590	, desmoplastic small round cell tumour
591	, trigemino-cardiac reflex
592	, phobia of driving
593	, visual evoked potentials abnormal
594	, meningitis candida
595	, pericarditis adhesive
596	, nasal odour
597	, hepatomegaly
598	, abnormal palmar/plantar creases
599	, migraine with aura
600	, gender identity disorder
601	, papillary cystadenoma lymphomatosum
602	, paedophilia
603	, hypertensive crisis
604	, eczema herpeticum
605	, blood test
606	, hyperamylasaemia
607	, hypertrophy
608	, vasomotor rhinitis
609	, fluid retention
610	, drooping shoulder syndrome
611	, heart rate
612	, bone marrow failure
613	, transaminases
614	, toothache
615	, gammopathy
616	, fibrous dysplasia of bone
617	, ear pain
618	, cerebral lobotomy
619	, gastroduodenitis
620	, prostatomegaly
621	, solar urticaria
622	, carcinoid tumour of the appendix
623	, porphyrins urine increased
624	, hepcidin test
625	, exposure to lead
626	, musculoskeletal cancer
627	, vascular malformation peripheral
628	, nongerminomatous germ cell tumour of the cns
629	, hypotonic-hyporesponsive episode
630	, thrombotic stroke
631	, cardiac death
632	, vascular occlusion
633	, iodine overload
634	, stent-graft endoleak
635	, mycoplasma test
636	, sinusitis fungal
637	, macular hole
638	, vascular dementia
639	, performance enhancing product use
640	, oculocardiac reflex
641	, tryptase
642	, meconium ileus
643	, skull malformation
644	, therapy responder
645	, hyoid bone suspension
646	, purulence
647	, gray matter heterotopia
648	, neuromuscular pain
649	, thyroiditis
650	, oesophageal food impaction
651	, cervix cerclage procedure
652	, paranasal cyst
653	, thymectomy
654	, glossodynia
655	, accessory breast
656	, tooth resorption
657	, impaired reasoning
658	, rotator cuff syndrome
659	, tenolysis
660	, bleeding peripartum
661	, phyllodes tumour
662	, internal hernia
663	, thymoma malignant
664	, swan ganz catheter placement
665	, metastases to diaphragm
666	, os trigonum syndrome
667	, symptom masked
668	, ureterolithotomy
669	, child neglect
670	, epileptic psychosis
671	, hypoperfusion
672	, formication
673	, exposure via blood
674	, anti-insulin antibody
675	, homeless
676	, lesion of ulnar nerve
677	, choroiditis
678	, laryngeal web
679	, retroperitoneal oedema
680	, camptodactyly congenital
681	, neonatal mucocutaneous herpes simplex
682	, colon dysplasia
683	, clang associations
684	, non-consummation
685	, thyroxin binding globulin
686	, dermatofibroma removal
687	, thought withdrawal
688	, cytology
689	, fear of animals
690	, glycosylated haemoglobin
691	, bone atrophy
692	, toxicity to various agents
693	, ecg signs of myocardial ischaemia
694	, bronchioloalveolar carcinoma
695	, diabetic diet
696	, fumbling
697	, serology negative
698	, vascular graft haemorrhage
699	, somnambulism
700	, urinary straining
701	, induction of cervix ripening
702	, blood blister
703	, fungaemia
704	, cd30 expression
705	, blood 1
706	, focal nodular hyperplasia
707	, ileitis
708	, carcinogenicity
709	, cystitis klebsiella
710	, rheumatoid vasculitis
711	, white clot in blood present
712	, vaginal cuff dehiscence
713	, vaginal removal of intrauterine foreign body
714	, mass
715	, crush injury
716	, hypnopompic hallucination
717	, neurosyphilis
718	, sinus rhythm
719	, guillain-barre syndrome
720	, oedema due to cardiac disease
721	, cervicitis
722	, hypocalvaria
723	, aniseikonia
724	, tongue biting
725	, delirium febrile
726	, respiratory papilloma
727	, heat exhaustion
728	, heat exposure injury
729	, performance fear
730	, organising pneumonia
731	, anisomastia
732	, middle lobe syndrome
733	, sputum retention
734	, peptostreptococcus infection
735	, urachal abnormality
736	, electroconvulsive therapy
737	, colonic atony
738	, palate injury
739	, poliomyelitis
740	, premature baby death
741	, joint ankylosis
742	, gasping syndrome
743	, occupational exposure to toxic agent
744	, facet joint block
745	, primary cardiac lymphoma
746	, vomiting
747	, paroxysmal arrhythmia
748	, prurigo
749	, abdominal wall disorder
750	, hypopnoea
751	, burnout syndrome
752	, facial dysmorphism
753	, convulsive threshold lowered
754	, fat atrophy
755	, urine cannabinoids increased
756	, pica
757	, lupus vasculitis
758	, costovertebral angle tenderness
759	, cystosarcoma phyllodes
760	, medical procedure
761	, temperature difference of extremities
762	, mycobacterium test
763	, product deposit
764	, normal newborn
765	, fingerprint loss
766	, cystatin c
767	, burning mouth syndrome
768	, haemodialysis
769	, blue toe syndrome
770	, cartilage-hair hypoplasia
771	, product packaging quantity issue
772	, follicular mucinosis
773	, cystogram
774	, erosive oesophagitis
775	, scab
776	, immune recovery uveitis
777	, alcoholic hangover
778	, prostration
779	, scar
780	, coloboma
781	, sports injury
782	, mixed venous blood saturation decreased
783	, biopsy uterus
784	, opisthotonus
785	, orchidopexy
786	, calcium intoxication
787	, platelet dysfunction
788	, jejunostomy closure
789	, tendon transfer
790	, vestibular ataxia
791	, extracorporeal shock wave therapy
792	, feelings of worthlessness
793	, epididymectomy
794	, nodule on extremity
795	, stomach lesion excision
796	, eye infection toxoplasmal
797	, pulmonary toxicity
798	, neutrophil pelger-huet anomaly present
799	, flank pain
800	, cardiac stress test
801	, tympanic membrane scarring
802	, areflexia
803	, proctalgia fugax
804	, abdominal wall haemorrhage
805	, rhinalgia
806	, mixed salivary tumour
807	, hysterectomy
808	, parathyroid tumour
809	, coprolalia
810	, prostatic mass
811	, paraplegia
812	, ganglioneuroma
813	, magical thinking
814	, tooth impacted
815	, pylorospasm
816	, paradoxical embolism
817	, papillary renal cell carcinoma
818	, oculogyric crisis
819	, voluntary redundancy
820	, nonkeratinising carcinoma of nasopharynx
821	, gingival cyst
822	, plasmacytoma
823	, diverticulum
824	, spinal pain
825	, accessory cardiac pathway
826	, craniopharyngioma benign
827	, ataxia telangiectasia
828	, retinopathy proliferative
829	, wrong schedule
830	, housebound
831	, vogt-koyanagi-harada syndrome
832	, cervix dystocia
833	, transfer factor reduced
834	, onychomadesis
835	, blood phosphorus
836	, phaeohyphomycotic brain abscess
837	, pyelonephritis
838	, cytotoxic oedema
839	, genital herpes
840	, cataract congenital
841	, culture stool
842	, unwanted pregnancy
843	, product leakage
844	, bedridden
845	, palpable purpura
846	, venom poisoning
847	, forearm fracture
848	, high risk pregnancy
849	, binge eating
850	, thyroid gland injury
851	, tenodesis
852	, delayed dark adaptation
853	, arthrodesis
854	, corneal touch
855	, non-compaction cardiomyopathy
856	, mucoepidermoid carcinoma
857	, naevus flammeus
858	, noninfective epididymitis
859	, chlamydial cervicitis
860	, atrial flutter
861	, brachial plexus injury
862	, constricted affect
863	, ocular pemphigoid
864	, schistosoma test positive
865	, papilloedema
866	, phlebectomy
867	, victim of sexual abuse
868	, hepatitis alcoholic
869	, thermometry abnormal
870	, foraminotomy
871	, hyphaema
872	, bone callus excessive
873	, ovarian fibroma
874	, high-pitched crying
875	, angiopathy
876	, pierre robin syndrome
877	, post stroke depression
878	, sluggishness
879	, nasal adhesions
880	, upper-airway cough syndrome
881	, cholecystitis infective
882	, labour pain
883	, asymmetric gluteal fold
884	, diastema
885	, globulinuria
886	, coma scale
887	, self esteem decreased
888	, condom
889	, dental alveolar anomaly
890	, meniscus injury
891	, limbal stem cell deficiency
892	, laryngeal mass
893	, lip pain
894	, psychogenic seizure
895	, gastric cyst
896	, vulvovaginal pruritus
897	, abdominal fat apron
898	, uveitis
899	, epiglottic erythema
900	, gallbladder volvulus
901	, braf v600e mutation positive
902	, head injury
903	, pseudoangina
904	, valvuloplasty cardiac
905	, metastases to nasal sinuses
906	, egocentrism
907	, cellulitis staphylococcal
908	, c-kit gene mutation
909	, fear of open spaces
910	, calculus prostatic
911	, necrolytic migratory erythema
912	, mucosal roughness
913	, fistulogram
914	, accessory liver lobe
915	, spastic paraplegia
916	, live birth
917	, bacterial toxaemia
918	, drug withdrawal convulsions
919	, chlamydia test
920	, whiplash injury
921	, asthma late onset
922	, antithrombin iii
923	, high frequency ablation
924	, palindromic rheumatism
925	, breast conserving surgery
926	, tendon sheath lesion excision
927	, sensory loss
928	, choledochectomy
929	, end stage aids
930	, feeling guilty
931	, myositis
932	, sleep phase rhythm disturbance
933	, porphyria screen
934	, thinking abnormal
935	, gastric lavage
936	, vocal cord disorder
937	, antipyresis
938	, ergot poisoning
939	, nail pitting
940	, basal ganglia haematoma
941	, pseudopolyposis
942	, agitation
943	, catheter site hypersensitivity
944	, acardia
945	, lymphangioma
946	, laryngeal cyst
947	, sickle cell anaemia with crisis
948	, arachnodactyly
949	, excessive eye blinking
950	, gonadal dysgenesis
951	, cervicitis gonococcal
952	, genital abscess
953	, pubic pain
954	, renal arteritis
955	, acetabulum fracture
956	, synovectomy
957	, eye symptom
958	, female sexual arousal disorder
959	, infertility
960	, animal scratch
961	, food refusal
962	, anticonvulsant toxicity
963	, meningioma malignant
964	, histiocytosis haematophagic
965	, foetal haemoglobin
966	, arthritis climacteric
967	, school refusal
968	, oral fibroma
969	, injury of conjunctiva
970	, sense of a foreshortened future
971	, pelvic laparoscopy
972	, diabetes complicating pregnancy
973	, dysaesthesia pharynx
974	, cockroach allergy
975	, mitral valve hypoplasia
976	, tongue coated
977	, adenolymphoma
978	, crying
979	, exposure to noise
980	, stiff person syndrome
981	, eyelid tumour
982	, postictal state
983	, lupus pleurisy
984	, cerebral arteritis
985	, gastric ulcer helicobacter
986	, emetophobia
987	, temperature perception test decreased
988	, fiducial marker placement
989	, trismus
990	, maxillonasal dysplasia
991	, pyelotomy
992	, acquired epiblepharon
993	, excessive skin
994	, tumour budding
995	, tooth infection
996	, biopsy tongue
997	, bone erosion
998	, anal fissure haemorrhage
999	, ballismus
1000	, ovarian agenesis
1001	, buttock injury
1002	, jaundice cholestatic
1003	, post lumbar puncture syndrome
1004	, fallopian tube cyst
1005	, stoma site candida
1006	, tonsillolith
1007	, varicocele
1008	, gender reassignment therapy
1009	, polytraumatism
1010	, eye haemorrhage
1011	, platelet adhesiveness abnormal
1012	, intensive care
1013	, painful os peroneum syndrome
1014	, remnant gastritis
1015	, exertional headache
1016	, post measles blindness
1017	, immunotactoid glomerulonephritis
1018	, myeloma recurrence
1019	, arthropod-borne disease
1020	, albuminuria
1021	, tilt table test
1022	, dry mouth
1023	, cardiac fibroma
1024	, mixed deafness
1025	, macrophage count
1026	, peripheral embolism
1027	, eczema eyelids
1028	, serotonin syndrome
1029	, alpha 1 foetoprotein
1030	, glucose-6-phosphate dehydrogenase deficiency
1031	, glucose urine
1032	, eyelash changes
1033	, lung lobectomy
1034	, brain hypoxia
1035	, pancreatic injury
1036	, buccal cavity papilloma
1037	, fistulotomy
1038	, venous valve ruptured
1039	, postoperative abscess
1040	, low turnover osteopathy
1041	, early satiety
1042	, lymphangioleiomyomatosis
1043	, diabetes insipidus
1044	, graft ischaemia
1045	, foeticide
1046	, no adverse effect
1047	, jaw cyst
1048	, bone trimming
1049	, rubella
1050	, rabies
1051	, tongue haematoma
1052	,  catatonic type
1053	, coagulopathy
1054	, gestational oedema
1055	, eczema asteatotic
1056	, malignant pituitary tumour
1057	, night blindness
1058	, thrombosis
1059	, lip repair
1060	, postcricoid cancer
1061	, pelvic cyst
1062	, scratch
1063	, laziness
1064	, chlamydia serology
1065	, vulval abscess
1066	, flashback
1067	,  mixed
1068	, mycotic allergy
1069	, egfr status assay
1070	, joint adhesion
1071	, multiple allergies
1072	, withdrawal hypertension
1073	, tuberculin test
1074	, pseudocholelithiasis
1075	, body mass index
1076	, myelopathy
1077	, sudden cardiac death
1078	, nodal arrhythmia
1079	, parkinsonian crisis
1080	, obesity
1081	, neck pain
1082	, pneumobilia
1083	, pogosta disease
1084	, viral epiglottitis
1085	, salvage therapy
1086	, quadriparesis
1087	, hiv lipodystrophy
1088	, wound debridement
1089	, urethral meatotomy
1090	, substance dependence
1091	, drug addict
1092	, testicular oedema
1093	, hepatic steato-fibrosis
1094	, pleural sarcoma
1095	, biopsy pancreas
1096	, discoloured vomit
1097	, bladder wall calcification
1098	, haemoperfusion
1099	, sternal fracture
1100	, eyelid cyst
1101	, myasthenia gravis crisis
1102	, toe walking
1103	, renal embolism
1104	, parvovirus b19 serology positive
1105	, varicella
1106	, cognitive disorder
1107	, hypotony of eye
1108	,  iii refractory
1109	, haematology test
1110	, sexual abuse
1111	, delirium tremens
1112	, muscular weakness
1113	, benign rolandic epilepsy
1114	, non-cirrhotic portal hypertension
1115	, acceleromyography
1116	, nutritional support
1117	, neurolysis
1118	, infrapatellar fat pad inflammation
1119	, hyperdynamic left ventricle
1120	, melanoplakia oral
1121	, adenolipoma
1122	, nasal polypectomy
1123	, eyelids pruritus
1124	, menopause delayed
1125	, foramen magnum stenosis
1126	, fungal cystitis
1127	, vitreous haze
1128	, hydranencephaly
1129	, idiopathic guttate hypomelanosis
1130	, haemophilus sepsis
1131	, vulva cyst
1132	, face lift
1133	, ocular rosacea
1134	, loss of control of legs
1135	, stab wound
1136	, pharmaceutical product complaint
1137	, uterine irritability
1138	, post concussion syndrome
1139	, breast cyst rupture
1140	, grip strength
1141	, chromoblastomycosis
1142	, endoscopy
1143	, device effect variable
1144	, mumps
1145	, hand crushing
1146	, wandering pacemaker
1147	, oligodendroglioma benign
1148	, ct hypotension complex
1149	, seborrhoea
1150	, biopsy lip
1151	, apgar score
1152	, vestibuloplasty
1153	, cns germinoma
1154	, micropenis
1155	, spherophakia
1156	, electrolyte imbalance
1157	, iridotomy
1158	, exercise test
1159	, suicidal behaviour
1160	, product appearance confusion
1161	, anotia
1162	, compulsions
1163	, urogram
1164	, vulvar erosion
1165	, alcoholic liver disease
1166	, pylorus dilatation
1167	, prosopagnosia
1168	, eye laser surgery
1169	, therapy naive
1170	, kidney transplant rupture
1171	, dysmorphism
1172	, faecaloma
1173	, brain lobectomy
1174	, intravenous catheter management
1175	, gastric polypectomy
1176	, myxofibrosarcoma
1177	, feeding tube insertion
1178	, agoraphobia
1179	, leukocyturia
1180	, mixed liver injury
1181	, tongue cyst
1182	, cloacal exstrophy
1183	, wisdom teeth removal
1184	, tooth disorder
1185	, mouth plaque
1186	, cardiac murmur
1187	, erythrasma
1188	, impaired work ability
1189	, bone groove deepening
1190	, urinary tract injury
1191	, azotaemia
1192	, oedematous kidney
1193	, childhood depression
1194	, lip pruritus
1195	, lymphoblastosis
1196	, cardiac valve vegetation
1197	, alcohol problem
1198	, chills
1199	, abnormal behaviour
1200	, purple glove syndrome
1201	, renal lymphocele
1202	, penile cancer
1203	, carbon monoxide poisoning
1204	, familial periodic paralysis
1205	, spermatic cord mass
1206	, diffusion-weighted brain mri abnormal
1207	, abscess soft tissue
1208	, fear of eating
1209	, epidemic pleurodynia
1210	, prostitute
1211	, trigger finger
1212	, alopecia
1213	, tongue cancer recurrent
1214	, catheter site haematoma
1215	, urinary bladder polyp
